id,first_name,name,nationality,club_name,position1,position2,position3,tm_url
,Rui,Patricio,pt,Wolverhampton,Por,,,https://www.transfermarkt.com/rui-patricio/profil/spieler/45026
,John,Ruddy,gb-eng,Wolverhampton,Por,,,https://www.transfermarkt.com/john-ruddy/profil/spieler/29712
,Matt,Doherty,ie,Wolverhampton,Dd,E,,https://www.transfermarkt.com/matt-doherty/profil/spieler/171679
,Willy,Boly,ci,Wolverhampton,Dc,,,https://www.transfermarkt.com/willy-boly/profil/spieler/142310
,Conor,Coady,gb-eng,Wolverhampton,Dc,,,https://www.transfermarkt.com/conor-coady/profil/spieler/128901
,Jonny,Otto,es,Wolverhampton,Ds,E,,https://www.transfermarkt.com/jonny-otto/profil/spieler/175446
,Ruben,Vinagre,pt,Wolverhampton,Ds,E,,https://www.transfermarkt.com/ruben-vinagre/profil/spieler/357158
,Maximilian,Kilman,gb-eng,Wolverhampton,Dc,Ds,,https://www.transfermarkt.com/max-kilman/profil/spieler/525247
,Ruben,Neves,pt,Wolverhampton,M,C,,https://www.transfermarkt.com/ruben-neves/profil/spieler/225161
,Morgan,Gibbs-White,gb-eng,Wolverhampton,C,T,,https://www.transfermarkt.com/morgan-gibbs-white/profil/spieler/429014
,Diogo,Jota,pt,Wolverhampton,A,,,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950
,Romain,Saiss,ma,Wolverhampton,M,,,https://www.transfermarkt.com/romain-saiss/profil/spieler/204198
,Joao,Moutinho,pt,Wolverhampton,C,T,,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364
,Adama,Traore,es,Wolverhampton,W,A,,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
,Leander,Dendoncker,be,Wolverhampton,M,C,,https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157
,Raul,Jimenez,mx,Wolverhampton,Pc,,,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
,Bruno,Jordao,pt,Wolverhampton,C,,,https://www.transfermarkt.com/bruno-jordao/profil/spieler/415646
,Pedro,Neto,pt,Wolverhampton,A,,,https://www.transfermarkt.com/pedro-neto/profil/spieler/487465
,Leonardo,Campana,ec,Wolverhampton,Pc,,,https://www.transfermarkt.com/leonardo-campana/profil/spieler/606872
,Daniel,Podence,pt,Wolverhampton,W,A,,https://www.transfermarkt.com/daniel-podence/profil/spieler/256977
